ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL",Categorías,Etiquetas,_product_image_gallery,tpg-post-view-count,_wp_page_template,player1,_player1,covernews-meta-content-alignment,_reviveso_original_pub_date,_reviveso_last_pub_date,_wp_old_date,_wpar_original_pub_date,_wpar_last_pub_date,wpar_republish_meta_query,views_count,Video1,_Video1,rank_math_title,rank_math_description,rank_math_focus_keyword,rank_math_internal_links_processed,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
2439,"Primera temporada 1 Sin Blanca Navidad","Llega la Navidad y, sorpresa, ¡no hay dinero! Descubre cómo una familia intenta salir del apuro en estas fechas tan señaladas. Caos, ingenio y mucho espíritu navideño (a su manera).",,2025-10-30,post,https://donsimpsononline.xyz/primera-temporada-1-sin-blanca-navidad/,http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x01-sin-blanca-navidad-3.jpg,"01x01 sin blanca navidad 3","01x01 sin blanca navidad 3","01x01 sin blanca navidad 3","01x01 sin blanca navidad 3",http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x01-sin-blanca-navidad-3.jpg,,"Primera temporada",,,16,,"<iframe width=""640"" height=""360"" frameborder=""0"" src=""https://mega.nz/embed/i1p1GAob#GNI6lltKbKi5w9xdeBWe3clQC4BFOXtSTlkAX0H4g5U"" allowfullscreen ></iframe>",field_669848bb46641,align-content-left,"2025-05-02 21:07:41","2025-10-30 05:36:29",2023-12-29|2025-05-02|2025-06-01|2025-07-02|2025-08-01|2025-08-31|2025-09-30,"2023-12-29 17:20:18","2025-09-30 03:20:47","2025-10-30 05:36:29",103,,,,,,,publish,1,jonastantra,jonastantra@gmail.com,,,primera-temporada-1-sin-blanca-navidad,,,0,0,0,open,open,2025-12-23
2440,"Primera temporada 2 Bart, el genio","Bart intenta engañar al resto de la familia para parecer un superdotado, ¡con resultados hilarantes! ¿Descubrirán su plan?",,2025-10-30,post,https://donsimpsononline.xyz/primera-temporada-2-bart-el-genio/,http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x02-bart-es-un-genio-3.jpg,"01x02 bart es un genio 3","01x02 bart es un genio 3","01x02 bart es un genio 3","01x02 bart es un genio 3",http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x02-bart-es-un-genio-3.jpg,,"Primera temporada",,,9,,"<iframe width=""640"" height=""360"" frameborder=""0"" src=""https://mega.nz/embed/b5I3BRIa#wAfLvQpLks18cWOuapHK5XpDZScY1ZJHDxlQGo7yhmQ"" allowfullscreen ></iframe>",field_669848bb46641,align-content-left,"2025-05-02 20:04:41","2025-09-30 00:28:50",2023-12-29|2025-05-02|2025-06-01|2025-07-01|2025-07-31|2025-08-30|2025-09-30,"2023-12-29 10:04:48","2025-10-30 00:58:49","2025-10-30 01:44:34",59,,,,,,,publish,1,jonastantra,jonastantra@gmail.com,,,primera-temporada-2-bart-el-genio,,,0,0,0,open,open,2025-12-23
2441,"Primera temporada 3 La odisea de Homer","Homer se embarca en su propia y cómica odisea. Acompaña al padre de familia en este tercer episodio de la primera temporada para ver sus inolvidables desventuras.",,2025-10-30,post,https://donsimpsononline.xyz/primera-temporada-3-la-odisea-de-homer/,http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x03-La-odisea-de-Homero.jpg,"01x03 La odisea de Homero","01x03 La odisea de Homero","01x03 La odisea de Homero","01x03 La odisea de Homero",http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x03-La-odisea-de-Homero.jpg,,"Primera temporada",,,20,,"<iframe width=""640"" height=""360"" frameborder=""0"" src=""https://mega.nz/embed/mxhmmI6A#Hcv-DiXVgNMptDC2Jz8q36n8OGBuBiyEV0MGoSPP_DA"" allowfullscreen ></iframe>",field_669848bb46641,align-content-left,"2023-12-29 11:05:18","2025-09-30 00:18:45",2023-12-29|2025-05-02|2025-06-01|2025-07-01|2025-07-31|2025-08-30|2025-09-29|2025-09-30,"2025-05-02 19:47:41","2025-10-30 00:58:19","2025-10-30 01:30:35",34,,,,,,,publish,1,jonastantra,jonastantra@gmail.com,,,primera-temporada-3-la-odisea-de-homer,,,0,0,0,open,open,2025-12-23
2442,"Primera temporada 4 Hogar, agridulce hogar","El hogar no es siempre un refugio. Descubre la tensión y los conflictos que resurgen en este capítulo, donde lo dulce y lo amargo se mezclan inesperadamente.",,2025-10-30,post,https://donsimpsononline.xyz/primera-temporada-4-hogar-agridulce-hogar/,http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x04-Una-familia-modelo.jpg,"01x04 Una familia modelo","01x04 Una familia modelo","01x04 Una familia modelo","01x04 Una familia modelo",http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x04-Una-familia-modelo.jpg,,"Primera temporada",,,21,,,,,"2023-12-29 11:29:52","2025-09-30 02:08:28",2023-12-29|2025-05-02|2025-06-01|2025-07-01|2025-07-31|2025-08-31|2025-09-30,"2025-05-02 20:06:46","2025-10-30 03:13:58","2025-10-30 03:33:10",64,,,,,,,publish,1,jonastantra,jonastantra@gmail.com,,,primera-temporada-4-hogar-agridulce-hogar,,,0,0,0,open,open,2025-12-23
2443,"Primera temporada 5 Bart, el general","Bart intenta liderar a los niños de Springfield. ¿Podrá el joven Simpson convertirse en un verdadero general? Descubre las caóticas consecuencias de su nuevo papel en este episodio de la primera temporada.",,2025-10-30,post,https://donsimpsononline.xyz/primera-temporada-5-bart-el-general/,http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x05-El-general-Bart.jpg,"01x05 El general Bart","01x05 El general Bart","01x05 El general Bart","01x05 El general Bart",http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x05-El-general-Bart.jpg,,"Primera temporada",,,22,,"<iframe width=""640"" height=""360"" frameborder=""0"" src=""https://mega.nz/embed/rhpTHTyS#bx4TjCB7MbA98CHdb7pC5BxEeTpm4dSFE0PBGNq3cfM"" allowfullscreen ></iframe>",field_669848bb46641,align-content-left,"2025-05-02 20:08:41","2025-10-30 02:48:39",2023-12-29|2025-05-02|2025-06-01|2025-07-01|2025-08-01|2025-08-31|2025-09-30,"2023-12-29 11:55:05","2025-09-30 02:00:43","2025-10-30 02:48:39",56,,,,,,,publish,1,jonastantra,jonastantra@gmail.com,,,primera-temporada-5-bart-el-general,,,0,0,0,open,open,2025-12-23
2444,"Primera temporada 6 El blues de la Mona Lisa","Sexto episodio. ¿Qué hay detrás de la sonrisa más famosa? Un robo y una inesperada conexión con el arte mantienen a todos en vilo. ¡Misterio y ritmo asegurados en este blues!",,2025-10-30,post,https://donsimpsononline.xyz/primera-temporada-6-el-blues-de-la-mona-lisa/,http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x06-La-depresion-de-Lisa.jpg,"01x06 La depresion de Lisa","01x06 La depresion de Lisa","01x06 La depresion de Lisa","01x06 La depresion de Lisa",http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x06-La-depresion-de-Lisa.jpg,,"Primera temporada",,,21,,"<iframe width=""640"" height=""360"" frameborder=""0"" src=""https://mega.nz/embed/egxXyTxC#ddpf0YIqdvcYY7i0ATbrWeqKfyDAvsr7Hjb9j9nwzts"" allowfullscreen ></iframe>",field_669848bb46641,align-content-left,"2023-12-29 12:20:06","2025-10-30 01:44:35",2023-12-29|2025-05-02|2025-06-01|2025-07-01|2025-07-31|2025-08-30|2025-09-30,"2025-05-02 19:42:41","2025-09-30 00:40:44","2025-10-30 01:44:35",51,,,,,,,publish,1,jonastantra,jonastantra@gmail.com,,,primera-temporada-6-el-blues-de-la-mona-lisa,,,0,0,0,open,open,2025-12-23
2445,"Primera temporada 7 El abominable hombre del bosque","Un monstruo aterroriza el bosque. ¿Podrán detener a la criatura antes de que sea demasiado tarde? Un episodio escalofriante de la primera temporada.",,2025-10-30,post,https://donsimpsononline.xyz/primera-temporada-7-el-abominable-hombre-del-bosque/,http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x07-La-llamada-de-los-Simpson.jpg,"01x07 La llamada de los Simpson","01x07 La llamada de los Simpson","01x07 La llamada de los Simpson","01x07 La llamada de los Simpson",http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x07-La-llamada-de-los-Simpson.jpg,,"Primera temporada",,,19,,"<iframe width=""640"" height=""360"" frameborder=""0"" src=""https://mega.nz/embed/u9hHXZ4Y#O69WYAhMOc4eGByjVM86i86y-3AZm9x13CMMx9Qv5EU"" allowfullscreen ></iframe>",field_669848bb46641,align-content-left,"2023-12-29 12:44:59","2025-10-30 00:58:20",2023-12-29|2025-05-02|2025-06-01|2025-07-01|2025-07-31|2025-08-30|2025-09-30,"2025-05-02 19:53:41","2025-09-30 00:11:57","2025-10-30 00:58:20",36,,,,,,,publish,1,jonastantra,jonastantra@gmail.com,,,primera-temporada-7-el-abominable-hombre-del-bosque,,,0,0,0,open,open,2025-12-23
2446,"Primera temporada 8 La cabeza chiflada","¡Un caos desatado! En este episodio, el número 8 de la primera temporada, la famosa ""cabeza chiflada"" pondrá a prueba la paciencia de todos. ¿Lograrán controlar el desmadre antes de que sea demasiado tarde?",,2025-10-30,post,https://donsimpsononline.xyz/primera-temporada-8-la-cabeza-chiflada/,http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x08-El-heroe-sin-cabeza.jpg,"01x08 El heroe sin cabeza","01x08 El heroe sin cabeza","01x08 El heroe sin cabeza","01x08 El heroe sin cabeza",http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x08-El-heroe-sin-cabeza.jpg,,"Primera temporada",,,17,,"<iframe width=""640"" height=""360"" frameborder=""0"" src=""https://mega.nz/embed/i1pQHbTQ#JzDrCxdBgE0BOqtYlguC4PyHNeZsWSEdhnbg_YzQWxk"" allowfullscreen ></iframe>",field_669848bb46641,align-content-left,"2023-12-29 13:10:18","2025-09-30 02:26:09",2023-12-29|2025-05-02|2025-06-01|2025-07-01|2025-08-01|2025-08-31|2025-09-30,"2025-05-02 19:52:41","2025-10-30 04:38:50","2025-10-30 04:42:58",60,,,,,,,publish,1,jonastantra,jonastantra@gmail.com,,,primera-temporada-8-la-cabeza-chiflada,,,0,0,0,open,open,2025-12-23
2447,"Primera temporada 9 Jacques, el rompecorazones","El noveno episodio de la primera temporada se centra en Jacques, el rompecorazones. ¿Podrá resistir sus encantos? Descúbrelo ahora.",,2025-10-30,post,https://donsimpsononline.xyz/primera-temporada-9-jacques-el-rompecorazones/,http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x09-Un-momento-de-decision.jpg,"01x09 Un momento de decision","01x09 Un momento de decision","01x09 Un momento de decision","01x09 Un momento de decision",http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x09-Un-momento-de-decision.jpg,,"Primera temporada",,,17,,"<iframe width=""640"" height=""360"" frameborder=""0"" src=""https://mega.nz/embed/65YzECwY#kljMwumcI-wCEupRlrexSoN4fHpAc1YUmQZgcF-sQO4"" allowfullscreen ></iframe>",field_669848bb46641,align-content-left,"2023-12-29 13:34:54","2025-10-30 01:34:09",2023-12-29|2025-05-02|2025-06-01|2025-07-01|2025-07-31|2025-08-31|2025-09-30,"2025-05-02 20:29:41","2025-09-30 00:58:47","2025-10-30 01:34:09",54,,,,,,,publish,1,jonastantra,jonastantra@gmail.com,,,primera-temporada-9-jacques-el-rompecorazones,,,0,0,0,open,open,2025-12-23
2448,"Primera temporada 10 Homer se va de juerga","Homer se va de fiesta y termina metido en un gran lío. ¿Podrá Marge sacarle de este embrollo antes de que sea demasiado tarde? El décimo episodio de la primera temporada trae problemas.",,2025-10-30,post,https://donsimpsononline.xyz/primera-temporada-10-homer-se-va-de-juerga/,http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x10-La-correria-de-Homero.jpg,"01x10 La correria de Homero","01x10 La correria de Homero","01x10 La correria de Homero","01x10 La correria de Homero",http://donsimpsononline.xyz/wp-content/uploads/mini/tu/01x10-La-correria-de-Homero.jpg,,"Primera temporada",,,24,,"<iframe width=""640"" height=""360"" frameborder=""0"" src=""https://mega.nz/embed/S1xV0LKI#qKONfha3foVsubDPNVYH44E4AzVZMa772M2DcyKolg4"" allowfullscreen ></iframe>",field_669848bb46641,align-content-left,"2023-12-29 14:00:07","2025-10-30 04:02:51",2023-12-29|2025-05-02|2025-06-01|2025-07-01|2025-08-01|2025-08-31|2025-09-30,"2025-05-02 20:27:41","2025-09-30 02:24:40","2025-10-30 04:02:51",59,,,,,,,publish,1,jonastantra,jonastantra@gmail.com,,,primera-temporada-10-homer-se-va-de-juerga,,,0,0,0,open,open,2025-12-23
